FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1G
53250,21501.492701699,6,0,0,0,0,0,0.0336107078983471,0.0313922812342249
53251,21501.517797118,1,0,0,0,0,0,0.0352073022528922,0.032441098607771
53252,21501.542892903,6,0,0,0,0,0,0.0336156857329398,0.0314142590035321
53253,21501.567982704,1,0,0,0,0,0,0.0351719043180108,0.0324460674947448
53254,21501.593119464,6,0,0,0,0,0,0.0336167919184049,0.0313943834556369
53255,21501.618213336,1,0,0,0,0,0,0.0351776196095802,0.0324303963896736
53256,21501.64330904,6,0,0,0,0,0,0.0336256414021252,0.0314152145587194
53257,21501.66842399,1,0,0,0,0,0,0.0351883127357423,0.0324498897154939
53258,21501.693518066,6,0,0,0,0,0,0.0336250883093927,0.0314071878951463
53259,21501.718612424,1,0,0,0,0,0,0.035190156378184,0.0324086097314039
53260,21501.743705646,6,0,0,0,0,0,0.0336197417463117,0.0313930456783748
53261,21501.768820921,1,0,0,0,0,0,0.0352056429746946,0.0324143430625275
53262,21501.793915689,6,0,0,0,0,0,0.0336252726736369,0.0313844456816893
53263,21501.819007405,1,0,0,0,0,0,0.0351947654842884,0.0324154897287522
53264,21501.844124428,6,0,0,0,0,0,0.0336335690646247,0.0313834901265021
53265,21501.869217405,1,0,0,0,0,0,0.0351920000206258,0.0324277208351493
53266,21501.894311563,6,0,0,0,0,0,0.0336322785149155,0.0313886501245133
53267,21501.919424641,1,0,0,0,0,0,0.0351931062060908,0.0324212230598758
53268,21501.944521972,6,0,0,0,0,0,0.0336160544614282,0.0313741256856668
53269,21501.969632364,1,0,0,0,0,0,0.0351857316363238,0.0324399519415463
53270,21501.994731036,6,0,0,0,0,0,0.0335931932951506,0.0313924723452624
53271,21502.019822712,1,0,0,0,0,0,0.0352069335244038,0.0324412897188085
53272,21502.044919758,6,0,0,0,0,0,0.0336326472434038,0.0313876945693261
53273,21502.070014892,1,0,0,0,0,0,0.0351977153121951,0.0324311608338234
53274,21502.095109373,6,0,0,0,0,0,0.0336195573820675,0.0313995434536482
