FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
28641,3445.106575153,1,0,0,0,0,0,0.0338245858316258
28642,3445.131669799,6,0,0,0,0,0,0.0301430536687692
28643,3445.156780598,1,0,0,0,0,0,0.0338329045033679
28644,3445.181879109,6,0,0,0,0,0,0.0301258964083011
28645,3445.206972654,1,0,0,0,0,0,0.0338301316127872
28646,3445.232087278,6,0,0,0,0,0,0.0301631571254792
28647,3445.25717993,1,0,0,0,0,0,0.033825279054271
28648,3445.282276163,6,0,0,0,0,0,0.0301503325065435
28649,3445.307370522,1,0,0,0,0,0,0.0338245858316258
28650,3445.332463499,6,0,0,0,0,0,0.0301252031856559
28651,3445.35757617,1,0,0,0,0,0,0.0338020560956577
28652,3445.382674681,6,0,0,0,0,0,0.030148252838608
28653,3445.407787963,1,0,0,0,0,0,0.0338178269108354
28654,3445.43288273,6,0,0,0,0,0,0.0301283226875592
28655,3445.457997597,1,0,0,0,0,0,0.0338133209636418
28656,3445.483091673,6,0,0,0,0,0,0.0301310955781399
28657,3445.508183511,1,0,0,0,0,0,0.0338077751824804
28658,3445.53328015,6,0,0,0,0,0,0.0301340417743819
28659,3445.558394246,1,0,0,0,0,0,0.0338076018768191
28660,3445.583488564,6,0,0,0,0,0,0.0301330019404141
28661,3445.608583901,1,0,0,0,0,0,0.0338176536051741
28662,3445.63367814,6,0,0,0,0,0,0.0301220836837526
28663,3445.6587937,1,0,0,0,0,0,0.0338197332731096
28664,3445.683887817,6,0,0,0,0,0,0.0301390676385594
28665,3445.708982298,1,0,0,0,0,0,0.0338313447524163
28666,3445.734095579,6,0,0,0,0,0,0.0301369879706239
28667,3445.759190794,1,0,0,0,0,0,0.033812281129674
28668,3445.78428483,6,0,0,0,0,0,0.0301333485517367
28669,3445.809378662,1,0,0,0,0,0,0.0338256256655936
28670,3445.834508504,6,0,0,0,0,0,0.0301265896309463
28671,3445.859584552,1,0,0,0,0,0,0.033825279054271
28672,3445.884680622,6,0,0,0,0,0,0.0301170578195751
28673,3445.909777709,1,0,0,0,0,0,0.0338154006315773
28674,3445.934890421,6,0,0,0,0,0,0.0301220836837526
28675,3445.959986814,1,0,0,0,0,0,0.0338186934391419
28676,3445.985100991,6,0,0,0,0,0,0.030111685344075
28677,3446.010195026,1,0,0,0,0,0,0.0338247591372871
28678,3446.035288899,6,0,0,0,0,0,0.0301210438497849
28679,3446.060401326,1,0,0,0,0,0,0.0338178269108354
28680,3446.085497475,6,0,0,0,0,0,0.0301151514573009
28681,3446.110589313,1,0,0,0,0,0,0.0337991098994157
28682,3446.135684365,6,0,0,0,0,0,0.0301141116233331
28683,3446.160801105,1,0,0,0,0,0,0.0337998031220609
28684,3446.185894327,6,0,0,0,0,0,0.0301172311252364
28685,3446.211005696,1,0,0,0,0,0,0.0338231993863355
28686,3446.236085529,6,0,0,0,0,0,0.0301054463402685
28687,3446.26117932,1,0,0,0,0,0,0.0338126277409966
28688,3446.28629427,6,0,0,0,0,0,0.0301314421894625
28689,3446.311385904,1,0,0,0,0,0,0.0338342909486583
28690,3446.336482949,6,0,0,0,0,0,0.0301101255931234
28691,3446.361578123,1,0,0,0,0,0,0.0338119345183514
28692,3446.386670002,6,0,0,0,0,0,0.0301227769063978
28693,3446.411767659,1,0,0,0,0,0,0.0338169603825289
28694,3446.43687797,6,0,0,0,0,0,0.0301042332006394
28695,3446.461994911,1,0,0,0,0,0,0.033805175597561
28696,3446.48709033,6,0,0,0,0,0,0.0301083925365105
28697,3446.512184447,1,0,0,0,0,0,0.0338263188882388
28698,3446.537298379,6,0,0,0,0,0,0.0301252031856559
28699,3446.562393066,1,0,0,0,0,0,0.0338069086541739
28700,3446.587487384,6,0,0,0,0,0,0.0301019802270426
28701,3446.612580646,1,0,0,0,0,0,0.0338231993863355
28702,3446.637695881,6,0,0,0,0,0,0.0301158446799461
28703,3446.662790282,1,0,0,0,0,0,0.0338114146013675
28704,3446.687883666,6,0,0,0,0,0,0.0301241633516882
28705,3446.712977252,1,0,0,0,0,0,0.0338320379750615
28706,3446.738073525,6,0,0,0,0,0,0.0301284959932205
28707,3446.763188109,1,0,0,0,0,0,0.0337970302314802
28708,3446.788284138,6,0,0,0,0,0,0.0301109921214299
28709,3446.813378824,1,0,0,0,0,0,0.0338121078240127
28710,3446.838472125,6,0,0,0,0,0,0.0301189641818494
28711,3446.863585122,1,0,0,0,0,0,0.0337918310616414
