,Time,zF
6100,305.0,-0.3943320318005618
6101,305.05,-0.4085534058796507
6102,305.1,-0.42139495523615944
6103,305.15,-0.43055977621848135
6104,305.2,-0.4326489504255782
6105,305.25,-0.44021821709966463
6106,305.3,-0.4464811694757658
6107,305.35,-0.4542185726992735
6108,305.4,-0.4617926901220927
6109,305.45,-0.4676084630989736
6110,305.5,-0.48006674006948474
6111,305.55,-0.4881188095980377
6112,305.6,-0.4885422206311307
6113,305.65,-0.49369516507418437
6114,305.7,-0.5014903676819129
6115,305.75,-0.5051151061810145
6116,305.8,-0.5043292898040077
6117,305.85,-0.5070835539115126
6118,305.9,-0.5119615065382319
6119,305.95,-0.5199367530850828
6120,306.0,-0.5262498773686354
6121,306.05,-0.5323874556166364
6122,306.1,-0.5389769934025764
6123,306.15,-0.5457137876007553
6124,306.2,-0.5570405946363672
6125,306.25,-0.5755384239975562
6126,306.3,-0.5981990214532193
6127,306.35,-0.6112858882184941
6128,306.4,-0.6226915477229225
6129,306.45,-0.6365003791942492
6130,306.5,-0.6445769423087554
6131,306.55,-0.6530260194299982
6132,306.6,-0.6689933836301912
6133,306.65,-0.6771930904586677
6134,306.7,-0.6914758324191366
6135,306.75,-0.7133679063352331
6136,306.8,-0.7269996085896189
6137,306.85,-0.7386370835712256
6138,306.9,-0.7593543813456505
6139,306.95,-0.7777073289635732
6140,307.0,-0.7904324421994122
6141,307.05,-0.8064193026746341
6142,307.1,-0.8241670511558652
6143,307.15,-0.837370183624278
6144,307.2,-0.8552472870903524
6145,307.25,-0.8739066405298516
6146,307.3,-0.8910088587407907
6147,307.35,-0.9076523757800635
6148,307.4,-0.9246820201764352
6149,307.45,-0.9324736219791742
6150,307.5,-0.9419995097593864
6151,307.55,-0.9575864660614393
6152,307.6,-0.967438707711915
6153,307.65,-0.9814530806645325
6154,307.7,-0.9933569134848136
6155,307.75,-1.0066623954736724
6156,307.8,-1.0122941437924675
6157,307.85,-1.0199092705863273
6158,307.9,-1.0342659280356992
6159,307.95,-1.0474312591469488
6160,308.0,-1.0569663879350224
6161,308.05,-1.0581441104087868
6162,308.1,-1.0654711918544528
